N,dTE,t_min,t_max,T_min,T_max,gamma,SNR,n_per_sample,bbp,s1_over_s0,s2_over_s0,s3_over_s0,s4_over_s0,picard_2c,picardraw_2c,energy_2c,picard_3c,picardraw_3c,energy_3c
16,20.0,20.0,320.0,10.0,1000.0,100.0,30,3,3.5,0.22810231863307232,0.06162041280006711,0.016038257790445768,0.003806610024207156,3,2,3,3,2,3
16,20.0,20.0,320.0,10.0,1000.0,100.0,100,4,4.62,0.22810231863307232,0.06162041280006711,0.016038257790445768,0.003806610024207156,3,2,4,3,2,4
16,20.0,20.0,320.0,10.0,1000.0,100.0,300,5,5.65,0.22810231863307232,0.06162041280006711,0.016038257790445768,0.003806610024207156,5,5,5,5,5,5
16,20.0,20.0,320.0,10.0,1000.0,100.0,1000,5,6.77,0.22810231863307232,0.06162041280006711,0.016038257790445768,0.003806610024207156,6,5,5,6,5,5
16,20.0,20.0,320.0,5.0,2000.0,400.0,30,3,4.55,0.2087579651942703,0.05591305069371948,0.014904873818424343,0.0037464887306801983,3,2,3,3,2,3
16,20.0,20.0,320.0,5.0,2000.0,400.0,100,4,6.01,0.2087579651942703,0.05591305069371948,0.014904873818424343,0.0037464887306801983,4,4,4,4,4,4
16,20.0,20.0,320.0,5.0,2000.0,400.0,300,5,7.35,0.2087579651942703,0.05591305069371948,0.014904873818424343,0.0037464887306801983,5,5,5,5,5,5
16,20.0,20.0,320.0,5.0,2000.0,400.0,1000,5,8.81,0.2087579651942703,0.05591305069371948,0.014904873818424343,0.0037464887306801983,6,5,5,6,5,6
16,20.0,20.0,320.0,1.0,10000.0,10000.0,30,3,6.99,0.17174065077955547,0.0448603642122703,0.01188061055374248,0.0029837068176858904,3,3,3,3,3,3
16,20.0,20.0,320.0,1.0,10000.0,10000.0,100,4,9.24,0.17174065077955547,0.0448603642122703,0.01188061055374248,0.0029837068176858904,4,4,4,4,4,4
16,20.0,20.0,320.0,1.0,10000.0,10000.0,300,4,11.29,0.17174065077955547,0.0448603642122703,0.01188061055374248,0.0029837068176858904,4,5,4,5,5,5
16,20.0,20.0,320.0,1.0,10000.0,10000.0,1000,5,13.54,0.17174065077955547,0.0448603642122703,0.01188061055374248,0.0029837068176858904,5,5,5,6,6,5
16,10.0,10.0,160.0,10.0,100.0,10.0,30,3,1.75,0.22916533325065616,0.05401914393524468,0.010913777247470927,0.0018442261268373555,2,3,3,4,3,3
16,10.0,10.0,160.0,10.0,100.0,10.0,100,4,2.31,0.22916533325065616,0.05401914393524468,0.010913777247470927,0.0018442261268373555,3,3,4,5,5,4
16,10.0,10.0,160.0,10.0,100.0,10.0,300,4,2.82,0.22916533325065616,0.05401914393524468,0.010913777247470927,0.0018442261268373555,4,3,4,5,5,4
16,10.0,10.0,160.0,10.0,100.0,10.0,1000,5,3.38,0.22916533325065616,0.05401914393524468,0.010913777247470927,0.0018442261268373555,5,5,5,6,6,5
16,10.0,10.0,160.0,10.0,1000.0,100.0,30,3,3.5,0.20630993915176363,0.05091454214769098,0.011077338139425958,0.0020312546091222393,3,3,3,3,3,3
16,10.0,10.0,160.0,10.0,1000.0,100.0,100,4,4.62,0.20630993915176363,0.05091454214769098,0.011077338139425958,0.0020312546091222393,3,3,4,3,3,4
16,10.0,10.0,160.0,10.0,1000.0,100.0,300,4,5.65,0.20630993915176363,0.05091454214769098,0.011077338139425958,0.0020312546091222393,4,4,4,4,4,5
16,10.0,10.0,160.0,10.0,1000.0,100.0,1000,5,6.77,0.20630993915176363,0.05091454214769098,0.011077338139425958,0.0020312546091222393,5,5,5,5,5,5
16,10.0,10.0,160.0,5.0,2000.0,400.0,30,3,4.55,0.1909691511037362,0.05018786503299517,0.013020705232842761,0.003103329345769677,3,3,3,3,3,3
16,10.0,10.0,160.0,5.0,2000.0,400.0,100,4,6.01,0.1909691511037362,0.05018786503299517,0.013020705232842761,0.003103329345769677,3,3,4,3,3,4
16,10.0,10.0,160.0,5.0,2000.0,400.0,300,4,7.35,0.1909691511037362,0.05018786503299517,0.013020705232842761,0.003103329345769677,4,3,5,4,3,5
16,10.0,10.0,160.0,5.0,2000.0,400.0,1000,5,8.81,0.1909691511037362,0.05018786503299517,0.013020705232842761,0.003103329345769677,5,6,6,5,6,6
16,10.0,10.0,160.0,1.0,10000.0,10000.0,30,3,6.99,0.1599535336934721,0.041493230398185796,0.010964369038400389,0.0027509482958023718,3,3,3,2,3,3
16,10.0,10.0,160.0,1.0,10000.0,10000.0,100,4,9.24,0.1599535336934721,0.041493230398185796,0.010964369038400389,0.0027509482958023718,3,3,4,3,3,4
